Numero	Nom	Nom_recherche	Prenom	Autre_nom	Autre_prenom	Sexe	Dates_vie	Lieu_naiss	Date_naiss	Date_naiss_complete	Date_mort	Date_mort_complete	Musicien	S16	S17	S18	S19	S20	Vivant	Lettres	Profession	Domaine	Valdensia1	Valdensia2	Date_creation	Date_modification	Signature	Encours	Wikipedia	ArchiveBN
4546	Capucine	CAPUCINE		Germaine Lefebvre		F	1928-1990		1933	06/01/1928	1990	17/03/1990	0	0	0	0	0	1	0		actrice / comédienne	cinéma / théâtre	TempVDA	 	20/05/2005	16/06/2016	BS	1	0	0
4550	Reutter-Junod	REUTTER-JUNOD	Marguerite			F	1883-1968		1883		1968		0	0	0	0	1	0	0		peintre	peinture	ParVDAC	 	23/05/2005	24/03/2010	BS	1	0	0
4551	Gaeng	GAENG	Jenny						0		9999		0	0	0	0	0	0	0		lissière	tapisserie / beaux-arts			23/05/2005			1	0	0
4552	Gardian	GARDIAN	Maroussia	Maroussia Rivier-Gardian		F	1908-1980		1908	10/11/1908	1980	25/04/1980	0	0	0	0	0	1	0		illustrateur	illustration / beaux-arts	ParVDAC	 	23/05/2005	08/11/2012	TD	1	0	0
4556	Du Marchie van Voorthuysen	Du MARCHIE VAN VOORTHUYSEN	Nicole 	Nicole du Marchie		F	-1960		1960		9999		0	0	0	0	0	0	1	dumn	musicienne / écrivain 	orgue / musique / littérature	ParVDAC	 	27/05/2005	31/07/2012	BS	0	0	0
4557	Grivel	GRIVEL	Jean-Claude			H	-1945		1945		9999		0	0	0	0	0	0	1	grjc	écrivain	littérature	VDAC		27/05/2005	02/04/2008	BS	0	0	0
4558	Goffard	GOFFARD	Michel			H	-1964		1964		9999		0	0	0	0	0	0	1		scénariste / professeur / galeriste		ParVDAC	 	31/05/2005	13/07/2010	TD	1	0	0
4559	Thomas	THOMAS	Jean-François			H	-1952		1952		9999		0	0	0	0	0	0	1		formateur d'adultes / nouvelliste	formation continue / enseignement  / science-fiction / SF	VDAC	VDAS	31/05/2005	24/09/2010	BS	1	0	0
4560	Diesbach	DIESBACH	Roger de			H	-1944		1944		9999		0	0	0	0	0	0	1		journaliste	journalisme	TempVDA		02/06/2005	06/04/2009	TD	1	0	0
4564	Bissat	BISSAT	Bernard Henri			H	-1955	L'Auberson	1955	22/06/1955	9999		0	0	0	0	0	0	1		sculpteur / photographe	sculpture / photographie	VDAC	 	06/06/2005	21/11/2013	STAG1	1	0	0
4565	Han	HAN	Suyin	Han Suyin	Elizabeth Comber	F	1917-2012		1917	12/09/1917	9999	02/11/2012	0	0	0	0	0	1	0		médecin / écrivain	médecine / littérature	TempVDA	 	06/06/2005	03/12/2012	JH	1	0	0
4566	Cachemaille	CACHEMAILLE	Gilles			H	-1951	Orbe	1951	25/11/1951	9999		1	0	0	0	0	0	1		musicien / chanteur / baryton-basse	musique / chant	 	 	06/06/2005	10/02/2014	FRU	0	6	0
4568	Henguely	HENGUELY	Sylvie			F	-1968		1968		9999		0	0	0	0	0	0	1		historienne d'art /	histoire d'art / photographie	VDAS	 	06/06/2005	01/08/2010	BS	1	0	0
4569	Maire	MAIRE	Stéphane			H	-1973		1973		9999		0	0	0	0	0	0	1		enseignant	géologie / montagne	ParVDAS	 	07/06/2005	21/04/2010	BS	1	0	0
4570	Galatis	GALATIS	Alain			H	-1961		1961		9999		0	0	0	0	0	0	1	gala	libraire / écrivain	littérature	VDAC	 	07/06/2005	06/01/2010	BS	0	0	0
4572	Perretti	PERRETTI	Claudine			F	1935-2005		1935		2005		0	0	0	0	0	1	0		pianiste	musique / piano	VDAC	 	08/06/2005	03/04/2010	BS	1	0	0
4573	Taverney	TAVERNEY	Madeleine			F			0		9999		0	0	0	0	0	0	1		peintre	peinture 	ParVDAC	 	08/06/2005	07/03/2010	BS	1	0	0
4576	David	DAVID	Marc			H	-1964		1964		9999		0	0	0	0	0	0	1		bibliothécaire / journaliste	journalisme / sport	VDAS		10/06/2005	06/04/2009	TD	1	0	0
4577	Kohler	KOHLER	François			H	-1954		1954		9999		0	0	0	0	0	0	1		cinéaste / réalisateur	cinéma / documentaire	VDAC	 	10/06/2005	28/10/2009	BS	1	0	0
4578	Rochat	ROCHAT	Jean			H	1922-2005	Senarclens	1922	04/12/1922	2005	27/03/2005	1	0	0	0	0	1	0		musicien / compositeur / chef de choeur / enseignant	musique / direction de choeur / composition / enseignement	VDAC	 	13/06/2005	09/09/2013	TD	0	0	0
4579	Bardet	BARDET	Jean-Marc			H	-1944		1944		9999		0	0	0	0	0	0	1		galeriste	galerie / beaux-arts	VDAS	 	13/06/2005	19/08/2010	BS	1	0	0
4580	Gret	GRET	Pierre			H	-1945		1945		9999		0	0	0	0	0	0	1		serrurier / archiviste amateur	serrurerie / archives métro Lausanne Ouchy LO	VDAS	 	13/06/2005	13/07/2010	TD	1	0	0
4581	Boegli	BOEGLI	Jo			F	-1963		1963		9999		0	0	0	0	0	0	1		metteur en scène / commédienne	théâtre	VDAC	 	13/06/2005	26/09/2010	BS	1	0	0
4582	Cudré	CUDRE	Hubert			H	-1962		1962		9999		0	0	0	0	0	0	1		metteur en scène	théâtre	VDAC		13/06/2005	03/04/2009	TD	1	0	0
4583	Corbaz	CORBAZ	Jacques			H	1943?		1943		9999		0	0	0	0	0	0	1		imprimeur	imprimerie / livre			13/06/2005	07/09/2006		1	0	0
4585	Bovy	BOVY	François			H	-1968		1968		9999		0	0	0	0	0	0	1		réalisateur / cinéaste	cinéma documentaire / vidéo /	VDAC	 	13/06/2005	31/10/2013	STAG1	1	0	0
4586	Rivier	RIVIER	Dominique			H	1918-1998		1918		1998		0	0	0	0	0	1	0		enseignant UNIL / recteur UNIL	enseignement supérieur / UNIL	VDAS	 	14/06/2005	21/03/2010	BS	1	0	0
4587	Boninsegni	BONINSEGNI	Pasquale			H	1869-1939	Rimini	1869	1869.10.10	1939	16/10/1939	0	0	0	0	1	0	0		enseignant UNIL / économiste	enseignement / économie	TempVDA	 	14/06/2005	18/10/2013	BS	1	0	0
4588	Wilson	WILSON	Florence			F	1884-1977		1884		1977		0	0	0	0	1	0	0		bibliothécaire	bibliothèque			14/06/2005	14/06/2005		1	0	0
4589	Preiswerk	PREISWERK	Yvonne			F	1937-1999		1937		1999		0	0	0	0	0	1	0		ethnologue	ethnologie	ParVDAC	 	14/06/2005	01/04/2010	BS	1	0	0
4590	Grobet-Secretan	GROBET-SECRETAN	Pearl	Pearl Grobet		F	1904-1988	Londres	1904	28/12/1904	1988		0	0	0	0	0	1	0		féministe	féminisme	ParVDAS	ParVDAC	14/06/2005	24/10/2013	BS	1	0	0
4591	Hayward	HAYWARD	Tarik			H	-1979		1979		9999		0	0	0	0	0	0	1		designer	design	ParVDAC	 	14/06/2005	14/07/2010	TD	1	0	0
4592	Périer	PERIER	Jacques			H	-1942		1942		9999		0	0	0	0	0	0	1	peri	écrivain	littérature	VDAC	 	14/06/2005	24/07/2011	BS	0	15	0
4593	Piotet	PIOTET	Paul			H	1924-2005		1924		2005		0	0	0	0	0	1	0		avocat / enseignant UNIL	droit / enseignement UNIL	VDAS	 	15/06/2005	02/04/2010	BS	1	0	0
4594	Strasser	STRASSER	Bruno J.			H	-1972		1972		9999		0	0	0	0	0	0	1		maître d'enseignement et de recherche UNIL	histoire et philosophie  des sciences UNIL	TempVDA	 	15/06/2005	13/03/2010	BS	1	0	0
4596	Auw	AUW	Louisa von			F	1882-1963		1882		1963		0	0	0	0	1	0	0		peintre	peinture	VDAC	 	17/06/2005	18/08/2010	BS	1	0	0
4597	Bolle	BOLLE	Alfred	Georges-Alfred Bolle		H	1887-1959	Morges	1887	1887.02.16	1959		0	0	0	0	1	0	0	boal	peintre	peinture	VDAC	 	17/06/2005	29/10/2012	TD	1	0	0
4600	Marti	MARTI	Laurence			F	-1963		1963		9999		0	0	0	0	0	0	1		sociologue	sociologie	ParVDAS	 	24/06/2005	18/02/2011	BS	1	0	0
4601	Modak	MODAK	Marianne			F			0		9999		0	0	0	0	0	0	1		sociologue / enseignante Haute école spécialisée de Suisse occidentale (HES-SO) 	sociologie / enseignement / Haute école spécialisée de Suisse occidentale (HES-SO) 	VDAS	 	24/06/2005	26/05/2010	BS	1	0	0
4602	Messant	MESSANT	Françoise	Françoise Messant Laurent		F	-1943		1943		9999		0	0	0	0	0	0	1	mlf	sociologie  / enseignante /  UNIL	sociologie  du travail  /  UNIL	VDAS	 	24/06/2005	19/06/2010	BS	1	0	0
4603	Crousaz	CROUSAZ	Karine			F			0		9999		0	0	0	0	0	0	1		assistante  / doctorante en histoire / UNIL	histoire / UNIL			24/06/2005	19/06/2006		1	0	0
