Numero	Nom	Nom_recherche	Prenom	Autre_nom	Autre_prenom	Sexe	Dates_vie	Lieu_naiss	Date_naiss	Date_naiss_complete	Date_mort	Date_mort_complete	Musicien	S16	S17	S18	S19	S20	Vivant	Lettres	Profession	Domaine	Valdensia1	Valdensia2	Date_creation	Date_modification	Signature	Encours	Wikipedia	ArchiveBN
1	Abbas	ABBAS	Rashid			H	-1956		1956		9999		0	0	0	0	0	0	1	abb	sculpteur / peintre / dessinateur / enseignant	sculpture / peinture / dessin / enseignement	ParVDAC	 	16/07/1993	01/11/2013	BS	1	0	0
2	Acatos	ACATOS	Sylvio			H	-1939	Téhéran (Iran)	1939	08/11/1939	9999		0	0	0	0	0	0	1	aca	éditeur / journaliste (art) / critique d'art	édition / art / critique artistique / vente aux enchères	ParVDAS	 		21/08/2015	BS	0	18	0
3	Aeschlimann	AESCHLIMANN	Richard			H	-1944	Yverdon-les-Bains	1944	21/02/1944	9999		0	0	0	0	0	0	1	aes	peintre / dessinateur / graveur / écrivain / essayiste	beaux-arts / littérature / dessin / gravure / science-fiction	VDAC	 	16/07/1993	05/09/2017	BS	0	10	1
4	Agassiz	AGASSIZ	Louis		Louis-Jean-Rodolphe Agassiz	H	1807-1873	Môtier en Vully	1807	1807.05.28	1873	1873.12.14	0	0	0	0	1	0	0	aga	naturaliste / médecin / zoologue / glaciologue	médecine / zoologie / glaciologie	VDAS	VDAC		24/11/2013	BS	0	20	0
5	Aloïse	ALOISE		Aloïse Corbaz		F	1886-1964	Lausanne	1886	1886.06.28	1964	05/04/1964	0	0	0	0	1	0	0	alo	artiste peintre	peinture / art brut / Cery	VDAC	 		16/10/2013	BS	0	1	0
6	Amedee	AMEDEE	Saint (Evêque de Lausanne)	Saint Amédée, évêque de Lausanne		H	1110-1159	Chatte (Dauphiné)	1110		1159	1159.08.27	0	0	0	0	0	0	0	ame	évêque	évêché de Lausanne	VDAC	VDAS		06/12/2013	STAG1	1	0	0
7	Ansermet	ANSERMET	Ernest			H	1883-1969	Vevey	1883	1883.11.11	1969	20/02/1969	1	0	0	0	1	0	0	ans	musicien / chef d'orchestre	musique / direction d'orchestre	VDAC	 		29/09/2014	VM	0	16	0
8	Apothéloz	APOTHELOZ	Charles			H	1922-1982	Lausanne	1922	30/05/1922	1982	24/05/1982	0	0	0	0	0	1	0	apoc	metteur en scène / juriste / champion suisse de relais 4x100 / bellettrien	théâtre / musique / Société Belles-Lettres	VDAC	 		24/05/2014	BS	0	0	0
9	Auberjonois	AUBERJONOIS	René		René Victor Auberjonois	H	1872-1957	Lausanne	1872	1872.08.18	1957	11/10/1957	0	0	0	0	1	0	0	aub	artiste peintre / dessinateur / caricaturiste / illustrateur	beaux-arts / peinture	VDAC	 		24/10/2012	TD	0	7	0
10	Auberson	AUBERSON	Jean-Marie			H	1920-2004	Chavornay	1920	02/05/1920	2004	04/07/2004	1	0	0	0	0	1	0	aubj	musicien / chef d'orchestre / violoniste	musique / direction / violon	VDAC	 		09/02/2017	BS	0	6	0
11	Apothéloz	APOTHELOZ	Jean			H	1900-1965	Lausanne	1900	12/05/1900	1965	14/07/1965	1	0	0	0	0	1	0	apo	musicien / artiste peintre / compositeur 	musique / beaux-arts / composition	VDAC	 		09/07/2013	TD	0	20	0
12	Auberson	AUBERSON	Pascal			H	-1952	Lausanne	1952	21/04/1952	9999		1	0	0	0	0	0	1	aubp	musicien / compositeur / chanteur	musique	VDAC	 		05/02/2014	FRU	0	6	0
13	Aubert	AUBERT	Pierre			H	1910-1987	Le Brassus	1910	30/04/1910	1987	01/11/1987	0	0	0	0	0	1	0	aube	artiste peintre / dessinateur  / graveur	affiche / timbre-poste / décor de théâtre	VDAC	 		24/10/2012	TD	0	18	0
14	Augsbourg	AUGSBOURG	Géa	Georges-Charles Augsburger		H	1902-1974	Yverdon	1902	11/01/1902	1974	07/02/1974	0	0	0	0	0	1	0	aug	artiste-peintre / dessinateur / caricaturiste / illustrateur / céramiste	beaux-arts / dessin / caricature	VDAC	 		06/02/2014	STAG1	0	0	0
15	Auphan	AUPHAN	Renée			F	-1941	Marseille	1941	02/06/1941	9999		1	0	0	0	0	0	1	aup	musicien / chanteuse / directrice / Opéra	musique / direction / TML 	ParVDAC	ParVDAC		04/12/2014	TD	0	6	0
16	Augsburger	AUGSBURGER	Marius			H	1864-1939	Lausanne	1864	1864.03.30	1939		0	0	0	0	1	0	0	augm	policier / agent de la sûreté	police	VDAS	 		04/10/2016	BS	1	0	0
17	Bach	BACH	Fritz			H	1881-1930	Paris	1881	1881.06.03	1930	27/12/1930	1	0	0	0	1	0	0		musicien / compositeur/ organiste / enseignant	musique / composition / enseignement	ParVDAC	 		09/05/2014	BS	0	6	0
18	Badmagrian	BADMAGRIAN	Vahé			H	1941-2005	Tabriz (Iran)	1941		2005	05/09/2005	0	0	0	0	0	1	0	bad	architecte / artiste	beaux-arts / architecture	ParVDAC	VDAC		04/10/2016	BS	1	0	0
19	Badoux	BADOUX	Jean-Claude			H	-1935		1935	19/02/1935	9999		0	0	0	0	0	0	1	badj	ingénieur civil EPFZ/  président de l'EPFL	génie civil / EPFL	VDAS	 		20/03/2017	BS	1	0	0
20	Bailly	BAILLY	Alice	Alice-Marie-Louise Bally		F	1872-1938	Genève	1872	1872.02.25	1938	01/01/1938	0	0	0	0	1	0	0	bai	artiste / peintre	beaux-arts / peinture	ParVDAC	 		31/12/2013	BS	0	0	0
21	Baldwin	BALDWIN	Philip			H	-1947		1947		9999		0	0	0	0	0	0	1	balp	verrier / souffleur de verre / designer	beaux-arts / verre / design	TempVDA	VDAC		04/10/2016	BS	1	0	0
22	Balissat	BALISSAT	Jean			H	1936-2007	Lausanne	1936	15/05/1936	2007	16/09/2007	1	0	0	0	0	1	0	bal	musicien / compositeur / enseignant	musique / composition / enseignement	VDAC	 		11/09/2014	VM	0	6	0
23	Barbey	BARBEY	William	William Barbey-Boissier		H	1842-1914	Genthod	1842	1842.07.14	1914	18/11/1914	0	0	0	0	1	0	0	barw	botaniste	botanique	VDAS	 		24/10/2013	BS	0	2	0
24	Barilier	BARILIER	Etienne			H	-1947	Payerne	1947	11/10/1947	9999		0	0	0	0	0	0	1	bari	écrivain / philosophe / traducteur / critique	littérature / philosophie / traduction / critique	VDAC	VDAS		24/02/2014	BS	0	4	0
25	Barman	BARMAN	Jacques			H	1921-1994	Lausanne	1921	10/07/1921	1994	20/09/1994	0	0	0	0	0	1	0	barm	enseignant / sculpteur	enseignement / beaux-arts / sculpture  / dessin / médaille	ParVDAC	 		14/11/2013	BS	1	0	0
26	Barrigue	BARRIGUE		Thierry de Barrigue de Montvallon 		H	-1950	Paris	1950	07/07/1950	9999		0	0	0	0	0	0	1	barr	dessinateur de presse	dessin de presse	ParVDAC	VDAC		10/09/2014	BS	0	18	0
27	Bataillard	BATAILLARD	Pierre			H	1927-2008	Morges	1927	18/05/1927	2008	23/03/2008	0	0	0	0	0	1	0	bat	graphiste / designer /peintre / dessinateur	graphisme / peinture / décoration / muséographie	VDAC	 		24/10/2012	TD	1	0	0
28	Bauer	BAUER	Pierre			H	-1947	Genève	0	30/06/1947	9999		0	0	0	0	0	0	1	baup	directeur de théâtre	théâtre	VDAS	 		06/04/2016	BS	1	0	0
29	Bauermeister	BAUERMEISTER	René			H	1930-1985	Neuchâtel	1930	07/04/1930	1985	01/07/1985	0	0	0	0	0	1	0	baue	peintre / sculpteur / cinéaste / artiste vidéo / enseignant	photographie / vidéographie / cinéma / performance / enseignement	TempVDA	 		04/10/2016	BS	1	0	0
31	Béjart	BEJART	Maurice			H	1927-2007	Marseille	1927	01/01/1927	2007	21/11/2007	0	0	0	0	0	1	0	bej	danseur / chorégraphe	danse / chorégraphie	ParVDAC	 		09/04/2016	BS	0	18	0
32	Belot	BELOT	Jean			H	1493-1513?		1493		1513		0	0	0	0	0	0	0	bel	imprimeur	imprimerie	ParVDAS	ParVDAC		24/02/2011	BS	1	0	0
33	Bergendi	BERGENDI	Pierre	Pierre-Noël Bergendi	Pierre-Noël	H	1934-2006	Lausanne	1934	25/12/1934	2006	28/01/2006	0	0	0	0	0	1	0	berg	enseignant / peintre / photographe	enseignement / peinture / photographie	VDAC	 		24/10/2012	TD	1	0	0
34	Berger	BERGER	Jaques			H	1902-1977	Villeneuve	1902	20/10/1902	1977	04/09/1977	0	0	0	0	0	1	0	ber	peintre / dessinateur / litographe	peinture / dessin / lithographie	VDAC	 		14/09/2016	BS	0	21	0
35	Berger	BERGER	René			H	1915-2009	Bruxelles	1915	29/04/1915	2009	29/01/2009	0	0	0	0	0	1	0	berr	écrivain / critique d'art / directeur-conservateur	art / littérature / beaux-arts / critique d'art	ParVDAC	VDAC		10/10/2013	BS	0	2	0
36	Berney	BERNEY		Famille Berney		-			0		9999		0	0	0	0	0	0	0	bern	famille		 	 		09/06/2010	JH	1	0	0
37	Bertoldi	BERTOLDI	Aldo			H	-1961		1961		9999		0	0	0	0	0	0	1	bera	sportif d'élite	 marche athlétique	VDAS	 		19/09/2010	BS	1	0	0
38	Bertrand	BERTRAND	Jean Elie	Elie Bertrand		H	1713-1797	Orbe  	1713	1713.05.17	1797	1797.08.23	0	0	0	1	0	0	0	bere	savant / pasteur / naturaliste / patoisant	sciences naturelles / religion / patois	VDAS	VDAC		13/10/2014	BS	0	22	0
39	Besson	BESSON	Alain			H			0		9999		0	0	0	0	0	0	1	besa	pianiste / enseignant / directeur de choeur / chef d'orchestre	musique / piano / enseignement / direction	VDAC	ParVDAC		10/03/2011	STAG1	1	0	0
40	Besson	BESSON	Marius			H	1876-1945		1876	1876.06.28	1945	24/02/1945	0	0	0	0	1	0	0	bes	évêque de Lausanne, Fribourg et Genève	Eglise / évêché de Lausanne, Genève et Fribourg	VDAS	 		22/10/2012	TD	0	2	0
41	Besson 	BESSON 		Famille Besson dite de Fermens					0		9999		0	0	0	0	0	0	0	besf	famille		VDCollC	 		20/09/2010	BS	1	0	0
42	Besson	BESSON	Jean-Marc			H	-1939	Moudon	1939	29/04/1939	9999		0	0	0	0	0	0	1	besj	peintre	peinture	VDAC	 		24/10/2012	TD	1	0	0
43	Augsburger	AUGSBURGER	Claude			H	-1957		1957		9999		0	0	0	0	0	0	1	augc	enseignant / peintre / consultant coloriste en architecture / plasticien	enseignement / peinture / architecture	ParVDAC	 	16/07/1993	05/01/2010	BS	1	0	0
44	Bacca	BACCA	Daisy			F	-1952	Aigle	1952	11/02/1952	9999		1	0	0	0	0	0	1	bacd	musicienne / pianiste 	musique / piano 	VDAC	 	16/07/1993	05/02/2014	FRU	0	6	0
45	Besson	BESSON	Benno			H	1922-2006	Yverdon-les-Bains	1922	04/11/1922	2006	23/02/2006	0	0	0	0	0	1	0	besb	metteur en scène	théâtre / mise en scène	VDAS	VDAC	16/07/1993	10/02/2017	BS	1	0	0
46	Besson	BESSON	Pascal			H	-1931	Lausanne	1931	24/03/1931	9999		0	0	0	0	0	0	1	besp	artiste peintre	peinture / beaux-arts	VDAC	 	16/07/1993	24/10/2012	TD	0	0	0
47	Bèze	BEZE	Théodore de			H	1519-1605		1519		1605		0	1	0	0	0	0	0	bez	pasteur / enseignant / théologie	enseignement / religion	ParVDAS	VDAC	16/07/1993	28/09/2010	BS	1	0	0
48	Biéler	BIELER	Ernest			H	1863-1948	Rolle	1863	1863.07.31	1948	25/06/1948	0	0	0	0	1	0	0	bie	peintre /  graveur sur bois / décorateur / dessinateur	peinture / beaux-arts / dessin	VDAC	 	16/07/1993	17/10/2013	BS	0	0	0
49	Biermann	BIERMANN	Charles			H	1875-1961		1875		1961		0	0	0	0	1	0	0	biec	géographe / bellettrien	géographie / Société Belles-Lettres	VDAS	VDAC	16/07/1993	20/12/2010	BS	1	0	0
50	Binet	BINET	Jean			H	1893-1960	Genève	1893	1893.10.17	1960	24/02/1960	1	0	0	0	1	0	0	bin	compositeur / musicien 	musique	ParVDAC	 	16/07/1993	05/02/2014	FRU	0	6	0
51	Bischoff	BISCHOFF	Henry			H	1882-1951	Lausanne	1882	1882.06.16	1951	07/07/1951	0	0	0	0	1	0	0	bis	peintre / illustrateur / enseignant (Ecole cantonale d'art appliqué et au Département d'architecture de l'Université de Lausanne) / graveur	gravure sur bois/ beaux-arts / livre / dessin peinture / illustration / gravure / gravure sur bois / xylographie / arts appliqués	VDAC	 	16/07/1993	29/10/2012	TD	0	0	0
52	Blanc	BLANC	Pierre			H	1902-1986	Lausanne	1902	20/10/1902	1986	03/11/1986	0	0	0	0	0	1	0	bla	sculpteur animalier / médailleur	beaux-arts / sculpture / médaille	VDAC	 	16/07/1993	20/07/2016	BS	0	0	0
53	Balthus	BALTHUS		Balthazar Klossowski de Rola		H	1908-2001		1908	29/02/1908	2001	18/02/2001	0	0	0	0	0	1	0	balt	artiste peintre / Grand Chalet / Rossinières	beaux-arts / peinture / Rossinières 	ParVDAC	 	16/07/1993	17/06/2013	BS	1	0	0
54	Bloch	BLOCH	Félix	Felix Bloch	Felix	H	1919-1989	Bâle	1919		1989	02/03/1989	0	0	0	0	0	1	0	blo	libraire / bouquiniste / éditeur	librairie / édition / médecine / sciences naturelles	ParVDAS	ParVDAC	16/07/1993	15/11/2013	STAG1	1	0	0
55	Bocion	BOCION	François	François-Louis-David Bocion		H	1828-1890	Nyon	1828	1828.03.30	1890	1890.12.12	0	0	0	0	1	0	0	boc	artiste / peintre / maître de dessin	peinture /dessin	VDAC	 	16/07/1993	29/10/2012	TD	0	20	0
56	Bodenhausen	BODENHAUSEN	Geoffrey			H	-1951		1951		9999		0	0	0	0	0	0	1	bod	enseignant UNIL / chimiste	enseignement / UNIL / chimie	ParVDAS	 	16/07/1993	26/09/2010	BS	1	0	0
57	Bodjol	BODJOL		Walther (William) Grandjean		H	1919-2006	Nyon	1919	26/06/1919	2006	13/01/2006	0	0	0	0	0	1	0	bodj	peintre / verrier / décorateur de théâtre	peinture / verre	ParVDAC	 	16/07/1993	29/10/2012	TD	1	0	0
58	Bolens	BOLENS	Louis	Marc David Louis Bolens		H	1812-1861		1812		1861		0	0	0	0	1	0	0	bole	musicien / banquier	musique / banque	VDAS	VDAC	16/07/1993	11/03/2011	STAG1	1	0	0
59	Wirz	WIRZ	Ernest			H	1935-1992	1935	1935	03/03/1935	9999	21/11/1992	0	0	0	0	0	1	0	wir	artiste peintre / aquarelliste / dessinateur / graphiste	beaux-arts /  peinture / aquarelle / design / graphisme	VDAC	 	19/07/1993	15/03/2016	BS	1	0	0
60	Bolle	BOLLE	Catherine			F	-1956	Lausanne	1956	20/09/1956	9999		0	0	0	0	0	0	1	bolc	peintre / graveuse / plasticienne	peinture / gravure / photographie / beaux-arts / sculpture	VDAC	 	19/07/1993	01/12/2014	TD	0	19	0
61	Bolomey	BOLOMEY	Benjamin Samuel			H	1739-1819	Lausanne	1739	1739.05.19	1819	1819.12.19	0	0	0	1	0	0	0	bolb	peintre à l'huile et au pastel / illustrateur	peinture-portrait / miniature	 	 	19/07/1993	29/10/2012	TD	1	0	0
62	Bongard	BONGARD	Jean-Pascal			H	-1947	Pully	1947	03/04/1947	9999		0	0	0	0	0	0	1	bong	peintre / enseignant	peinture / dessin / enseignement	VDAC	 	19/07/1993	29/10/2012	TD	1	0	0
63	Boniface	BONIFACE		Saint Boniface		H	1181-1260		1181		1260		0	0	0	0	0	0	0	bon	évêque de Lausanne Fribourg Genève	évêché de Lausanne Fribourg Genève	ParVDAS	VDAC	19/07/1993	26/09/2010	BS	1	0	0
64	Bonnard	BONNARD	Albert			H	1858-1917	Begnins	1858	1858.01.16	1917	07/03/1917	0	0	0	0	1	0	0		avocat / journaliste / politicien	droit / journalisme / politique	VDAS	VDAC	19/07/1993	18/02/2014	BS	0	6	0
65	Bonstein	BONSTEIN	Nahum			H	1886-1950		1886		1950		0	0	0	0	1	0	0	bonn	pharmacien	pharmacie / sionisme / judaïsme	ParVDAS	 	19/07/1993	13/11/2010	BS	1	0	0
66	Bovy	BOVY	Adrien	Louis-Albert-Adrien Bovy		H	1880-1957		1880		1957		0	0	0	0	1	0	0	bovy	enseignant UNIL	histoire de l'art / enseignement	ParVDAS	VDAC	19/07/1993	01/03/2011	BS	1	0	0
67	Borgeaud	BORGEAUD	Constant			H	1820-1905		1820		1905		0	0	0	0	1	0	0	borc	instructeur / colonel / bibliothécaire	armée / bibliothéconomie	VDAS	 	19/07/1993	12/12/2010	BS	1	0	0
68	Borgeaud	BORGEAUD	Georges			H	1914-1998	Lausanne	1914	27/07/1914	1998	06/12/1998	0	0	0	0	0	1	0	bord	écrivain / libraire	littérature / librairie	ParVDAC	 	19/07/1993	23/10/2013	BS	0	8	0
69	Borgeaud	BORGEAUD	Georges			H	1913-1998	Lausanne	1913	18/09/1913	1998	22/01/1998	0	0	0	0	0	1	0	borg	peintre / dessinateur / graveur	peinture / beaux-arts	VDAC	 	19/07/1993	29/10/2012	TD	1	0	0
70	Borgeaud	BORGEAUD	Marius			H	1861-1924	Lausanne	1861	1861.09.21	1924	16/07/1924	0	0	0	0	1	0	0	bor	artiste /peintre	art / peinture /  beaux-arts	VDAC	 	19/07/1993	29/10/2012	TD	0	22	0
71	Borgeaud	BORGEAUD	Paulin			H	-1887		1887		9999		0	0	0	0	1	0	0	bora	homme d'affaires / banquier / émigré en Algérie / diplomate / vice consul	affaires / banque / affaires / diplomatie / représentation suisse Algérie	VDAS	 	19/07/1993	12/12/2010	BS	1	0	0
72	Borgeaud	BORGEAUD	Pierre			H	-1934		1934		9999		0	0	0	0	0	0	1	borp	directeur d'entreprise	Président vaudois de Sulzer à Winterthour et président du Vorort	VDAS	 	19/07/1993	12/12/2010	BS	1	0	0
73	Bosshard	BOSSHARD	Rodolphe Théophile	Rodolphe Bosshard		H	1889-1960	Morges	1889	1889.06.07	1960	17/09/1960	0	0	0	0	1	0	0	bos	peintre	peinture / beaux-arts	VDAC	 	19/07/1993	29/10/2013	BS	0	0	0
74	Boucard	BOUCARD	Yves			H	-1953		1953		9999		0	0	0	0	0	0	1	bouy	sculpteur sur meubles / menuisier / ébéniste	arts décoratifs / meubles / ébénisterie	VDAC	 	19/07/1993	09/03/2011	BS	1	0	0
75	Bouillon	BOUILLON		Denis Meylan		H	-1947		1947		9999		0	0	0	0	0	0	1	boui	humoriste	cabaret	VDAS	VDAC	19/07/1993	28/02/2011	BS	1	0	0
76	Bouquet	BOUQUET	Henry Louis			H	1719-1765		1719	1765.09.02	1765		0	0	0	1	0	0	0	bou	militaire / colonel	armée / Amérique / Indiens	VDAS	 	19/07/1993	17/06/2015	BS	1	0	0
77	Bousquet	BOUSQUET	Marc-Michel			H	1696-1762	Grancy 	1696	1696.11.29	1762	1762.12.11	0	0	1	0	0	0	0	bous	libraire / imprimeur	livre / imprimerie	VDAC	 	19/07/1993	02/07/2017	BS	1	0	0
78	Bovard	BOVARD	Jacques-Etienne			H	-1961	Morges	1961	17/11/1961	9999		0	0	0	0	0	0	1	bov	écrivain / enseignant / critique littéraire /	littérature / enseignement / critique littéraire	VDAC	 	19/07/1993	03/11/2013	BS	0	9	0
79	Brandoin	BRANDOIN	Michel-Vincent			H	1733-1790	Vevey	1733	1733.03.02	1790	1790.05.26	0	0	0	1	0	0	0	bra	peintre / sculpteur	peinture / beaux-arts	 	 	19/07/1993	29/10/2012	TD	1	0	0
80	Bray	BRAY	René			H	1896-1954	Nalliers (F)	1896	1896.10.26	1954	01/08/1954	0	0	0	0	1	0	0	bry	enseignement français UNIL	enseignant français UNIL	TempVDA	VDAC	20/07/1993	14/06/2017	BS	1	0	0
81	Bridel	BRIDEL	Philippe-Sirice	dit le Doyen		H	1757-1845	 Begnins	1757	1757.11.20	1845	1845.05.20	0	0	0	1	0	0	0	bri	pasteur / écrivain / patoisant	religion / littérature / philologie / patois	VDAC	 	20/07/1993	06/06/2016	BS	1	0	0
82	Brun	BRUN	Louis-Auguste			H	1758-1815	Rolle	1758	1758.10.03	1815	1815.10.08	0	0	0	1	0	0	0	bru	peintre /dessinateur / portraitiste, /paysagiste /animalier	peinture	 	 	20/07/1993	01/11/2012	TD	1	0	0
83	Buache	BUACHE	Freddy			H	1924	Lausanne	1924	29/12/1924	9999		0	0	0	0	0	0	1	bua	journaliste / directeur de la cinémathèque / poète / écrivain / bellettrien	cinéma / journalisme / poésie / littérature / Société Belles-Lettres	VDAC	 	20/07/1993	06/04/2016	BS	0	11	0
84	Buchet	BUCHET	Gustave			H	1888-1963	Etoy	1888	1888.06.05	1963	14/07/1963	0	0	0	0	1	0	0	buc	peintre / sculpteur	peinture / beaux-arts	VDAC	 	20/07/1993	05/04/2017	BS	0	0	0
85	Budry	BUDRY	Paul			H	1883-1949	Cully	1883	1883.06.29	1949	06/05/1949	0	0	0	0	1	0	0	bud	écrivain / journaliste / critique d'art	littérature / journalisme / critique d'art / édition	VDAC	 	20/07/1993	05/10/2015	BS	0	19	0
86	Bühler	BUEHLER	Michel	Michel Buhler		H	-1945	Berne	1945	30/04/1945	9999		1	0	0	0	0	0	1	bue	chanteur / écrivain / acteur / poète / compositeur / dramaturge / enseignant / musicien	musique / théâtre / littérature / dramaturgie / enseignement	VDAC	 	20/07/1993	10/09/2014	SUK	0	7	0
87	Bugnion	BUGNION	François-Louis			H	1822-1880		1822		1880		0	0	0	0	1	0	0	bug	religieux / ecclésiastique / évêque / pasteur / instituteur	religion / Eglise / enseignement	VDAS	VDAC	20/07/1993	27/06/2010	BS	1	0	0
88	Bugnon	BUGNON	Charles			H	1924-1998		1924		1998		0	0	0	0	0	1	0	bugc	médecin / sexologue	médecine  / éducation sexuelle			20/07/1993	16/08/2006		1	0	0
90	Burkhard	BURKHARD	Frédéric	Burkha		H	-1965	Yverdon	1965	07/08/1965	9999		0	0	0	0	0	0	1	burf	sculpteur / dessinateur en bâtiment / peintre	scénographie / photographie / art appliqué / beaux-arts	 	 	20/07/1993	01/11/2012	TD	1	0	0
92	Burnat	BURNAT	Daniel			H	1723-1803		1723		1803		0	0	0	1	0	0	0		voyageur 	voyage / commerce	VDAC	 	20/07/1993	16/09/2011	BS	1	0	0
93	Burnat	BURNAT	Ernest			H	1833-1922		1833		1922		0	0	0	0	0	0	0	bure	architecte / peintre	architecture / peinture	VDAC	 	20/07/1993	14/01/2010	BS	1	0	0
94	Burnier	BURNIER	André		Pierre-André Burnier	H	1910-1941		1910		1941		0	0	0	0	0	1	0	burr	enseignant UNIL / historien / philosophe	enseignement / UNIL / histoire / philosophie	VDAS	VDAC	20/07/1993	02/03/2011	BS	1	0	0
96	Busset	BUSSET	Michel			H	1947-2013		1947		9999	12/05/2013	0	0	0	0	0	1	0		journaliste / sportif / éditeur	journalisme / éditeur / Editions de l'Orient	VDAS	VDAC	20/07/1993	23/05/2013	BS	1	0	0
97	Buvelot	BUVELOT	Louis	Abram-Louis Buvelot / Abraham-Louis Buvelot	Abram-Louis / Abraham-Louis	H	1814-1888	Morges	1814	1814.03.03	1888	1888.05.30	0	0	0	0	1	0	0	buv	enseignant / peintre / photographe	enseignement / beaux-art / peinture /  photographie / dessin	VDAC	 	20/07/1993	28/02/2014	STAG1	0	0	0
98	Byron	BYRON	George Gordon Noel	Lord Byron		H	1788-1824		1788		1824		0	0	0	1	0	0	0		poète / auteur	poésie / littérature	TempVDA	 	20/07/1993	10/04/2015	BS	1	0	0
99	Braunschweig	BRAUNSCHWEIG	Philippe			H	1928-2010		1928		2010		0	0	0	0	0	1	0	brap	industriel / mécène	économie / beaux-arts	ParVDAS	ParVDAC	20/07/1993	08/07/2010	BS	1	0	0
100	Bossart	BOSSART	Hans			H			0		9999		0	0	0	0	0	0	1	bosh	médecin / gynécologue / obstétricien	médecine / CHUV / gynécologie / obstétrique			20/07/1993	23/05/2006		1	0	0
102	Capt	CAPT	Jacques		NULL	H			0		9999		0	0	0	0	0	0	0	cap					20/07/1993			1	0	0
103	Cariguel	CARIGUEL	Claude		NULL	H			0		9999		0	0	0	0	0	0	0						20/07/1993	06/07/1995		1	0	0
104	Carrard	CARRARD	Alfred			H	1889-1948	Montreux	1889	1889.01.26	1948	05/09/1948	0	0	0	0	1	0	0	carr	ingénieur / psychologue	ingénierie / technique / psychologie / industrie / ressources humaines	VDAS	 	20/07/1993	20/01/2014	STAG1	0	0	0
105	Cart	CART	Jean-Jacques			H	1748-1813	Morges	1748	1748.11.30	1813	1813.09.19	0	0	0	1	0	0	0	car	avocat / homme politique	politique / patriote	VDAS	 	20/07/1993	24/10/2013	BS	1	0	0
106	Catto	CATTO	Albert	abbé Catto		H	-1908		1908		9999		0	0	0	0	0	1	0	cat	abbé / curé / aumônier	religion / Eglise / prédication / aumônerie	ParVDAS	 	20/07/1993	10/05/2010	BS	1	0	0
107	Cérésole	CERESOLE	Alfred			H	1842-1915	Friedrichsdorf près Francfort-sur-le-Main	1842	1842.03.17	1915	14/01/1915	0	0	0	0	1	0	0	cera	pasteur / écrivain / bellettrien	religion / littérature / Société Belles-Lettres	VDAS	VDAC	20/07/1993	12/02/2013	BS	0	17	0
108	Chaillet	CHAILLET	Gérald			H	-1919		1919		9999		0	0	0	0	0	1	0	chai	trompettiste	musique			20/07/1993	21/09/2005		1	0	0
109	Challant	CHALLANT	Guillaume de			H	-1431		0		1431		0	0	0	0	0	0	0		théologien / évêque	religion / théologie	 	 	20/07/1993	08/09/2010	TD	1	0	0
110	Chalon-Orange	CHALON-ORANGE	Louis de			H			0		9999		0	0	0	0	0	0	0	chal					20/07/1993	26/01/2006		1	0	0
111	Chapallaz	CHAPALLAZ	Edouard			H	1921-2016	Yverdon-les-Bains	1921	14/03/1921	2016	07/02/2016	0	0	0	0	0	1	0	chap	céramiste	céramique / beaux-arts / poterie/ arts appliqués	VDAC	 	20/07/1993	09/02/2017	BS	1	0	0
112	Chapuisat	CHAPUISAT	Stéphane			H	-1969		1969		9999		0	0	0	0	0	0	1	chat	footballeur	football	VDAS	 	20/07/1993	02/06/2011	BS	1	0	0
113	Chaplin	CHAPLIN	Charlie	sir Charles Spencer		H	1889-1977	Londres	1889	1889.04.16	1977	25/12/1977	0	0	0	0	1	0	0	cch	comédien / acteur / cinéaste / réalisateur	cinéma / Corsier	ParVDAS	ParVDAC	20/07/1993	09/04/2014	STAG1	0	0	0
114	Chapuis	CHAPUIS	Samuel			H			0		9999		0	0	0	0	0	0	0		Médecin, écrivain		 	 	20/07/1993	19/02/2015	TD	1	0	0
115	Cérésole	CERESOLE	Pierre			H	1879-1945		1879	1879.08.17	1945	23/10/1945	0	0	0	0	1	0	0	cerp	ingénieur / pacifiste	service civil / pacifisme	VDAS	VDAC	20/07/1993	09/06/2015	BS	1	0	0
116	Charles	CHARLES	Olivier			H	-1931	Lausanne	0	26/03/1931	9999		0	0	0	0	0	0	1	chao	peintre / céramiste	beaux-arts / céramique	 	 	20/07/1993	01/11/2012	TD	1	0	0
117	Charpentier	CHARPENTIER	Jean de	Johann von Charpentier	Johann-Friedrich-Wilhelm	H	1786-1855		1786		1855		0	0	0	1	0	0	0	char	enseignant Académie / géologue	enseignement / Académie / géologie / mines	ParVDAS	VDAC	21/07/1993	12/10/2010	BS	0	0	0
118	Campiche	CAMPICHE	Florian			H	1910-2002	Sainte-Croix	1910	09/04/1910	2002	11/04/2002	0	0	0	0	0	1	0	camf	peintre / cinéaste	beaux-arts / peinture  / cinéma	 	 	21/07/1993	01/11/2012	TD	1	0	0
119	Burger	BURGER	Maya			F	-1956		1956		9999		0	0	0	0	0	0	1	burm	enseignant UNIL / indologue / orientaliste	enseignement / UNIL / religion / indologie / Inde / Orient / civilisations / langues			21/07/1993	16/02/2006		1	0	0
120	Charlet	CHARLET	André			H	1927-2014	Lausanne	1927	13/03/1927	2014	24/02/2014	1	0	0	0	0	1	0	chaa	musicien / chef d'orchestre / chef de choeur	musique / direction	VDAC	 	21/07/1993	26/02/2014	SUK	0	6	0
